,Date,FEDFUNDS,DTWEXBGS,GDPC1,CPIAUCSL,RTWEXBGS
39,2015-12-31,0.16,111.4742241935484,18892.206,237.837,104.1882333333333
40,2016-03-31,0.36,113.6090322033898,19001.69,237.6893333333333,105.9751
41,2016-06-30,0.3733333333333334,110.91595625,19062.709,239.5903333333333,103.4814
42,2016-09-30,0.3966666666666667,112.0512875,19197.938,240.6073333333333,104.5583
43,2016-12-31,0.45,115.8630426229508,19304.352,242.1346666666667,108.1347
44,2017-03-31,0.7000000000000001,116.463962295082,19398.343,243.8386666666667,108.7073666666667
45,2017-06-30,0.9500000000000001,113.90348125,19506.949,244.12,105.8759
46,2017-09-30,1.153333333333333,109.9385841269841,19660.766,245.287,102.1486666666667
47,2017-12-31,1.203333333333333,110.9747442622951,19882.352,247.2383333333333,103.2102333333333
48,2018-03-31,1.446666666666667,107.99646,20044.077,249.3216666666667,100.5832
49,2018-06-30,1.736666666666667,110.618409375,20150.476,250.679,103.165
50,2018-09-30,1.923333333333333,113.6487666666667,20276.154,251.6863333333333,105.6375333333333
51,2018-12-31,2.22,115.6998836065574,20304.874,252.711,107.4824666666667
52,2019-03-31,2.403333333333333,114.5548779661017,20431.641,253.3856666666667,106.3833333333333
53,2019-06-30,2.396666666666667,115.429475,20602.275,255.2473333333333,107.1139333333333
54,2019-09-30,2.19,116.4749046875,20843.322,256.0893333333333,107.9752
55,2019-12-31,1.643333333333333,116.4137672131148,20985.448,257.888,107.8370333333333
56,2020-03-31,1.26,117.7559306451613,20709.212,258.8176666666666,108.9173333333333
57,2020-06-30,0.06,121.8336421875,19077.992,256.292,112.2112333333333
58,2020-09-30,0.09333333333333334,117.3474875,20558.879,259.2216666666666,108.6259
59,2020-12-31,0.09000000000000001,113.91718,20791.917,261.0916666666667,105.8486
60,2021-03-31,0.08,112.3639616666667,21082.134,263.7423333333334,104.3314666666667
61,2021-06-30,0.07,111.826015625,21440.929,268.5503333333333,104.9698
62,2021-09-30,0.09000000000000001,113.304753125,21617.828,272.8296666666667,107.0383
63,2021-12-31,0.08,114.9665721311475,21988.737,278.7713333333334,109.3386666666667
64,2022-03-31,0.12,115.4901935483871,21932.71,284.9056666666667,110.3331666666667
65,2022-06-30,0.77,118.9635650793651,21967.045,291.6053333333334,113.8369333333333
66,2022-09-30,2.19,123.5284203125,22125.625,295.453,117.974
67,2022-12-31,3.653333333333333,124.8129081967213,22278.345,298.5416666666667,118.7619333333333
68,2023-03-31,4.516666666666667,120.3096080645161,22439.607,301.2303333333334,114.5650666666667
69,2023-06-30,4.989999999999999,119.3965476190476,22580.499,303.3976666666667,113.6415333333333
70,2023-09-30,5.260000000000001,119.8506333333333,22840.989,305.989,113.8524
71,2023-12-31,5.33,121.5499229508197,23033.78,308.195,115.3673333333333
72,2024-03-31,5.33,120.6440129032258,23082.119,311.0033333333333,114.4935333333333
